===== Starting pico ===== 
[Motor] Init start 
[Motor] Init done 
[Encoder] Init start 
[Encoder] Init done 
[Accelerometer] Init start 
[Accelerometer] Init done 
[Ultrasonic] Init start 
[Ultrasonic] Init done 
[Comms] Init start 
[Comms] Init done 
T: 0.19s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 0.19s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 0.39s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 0.39s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 0.59s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 0.59s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 0.79s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 0.79s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 0.99s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 0.99s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 1.19s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 1.19s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 1.39s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 1.39s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 1.59s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 1.59s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 1.79s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 1.79s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 1.99s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 1.99s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
> [Motor] PID Target Setpoint 30 
T: 2.19s | SP: 30.00 | SPD L: 0.00 | DUTY L: 100 | [P]60.00 [I]6.01 [D]59.93 (Err: 30.00) 
T: 2.19s | SP: 30.00 | SPD R: 0.00 | DUTY R: 100 | [P]60.00 [I]6.01 [D]59.93 (Err: 30.00) 
T: 2.39s | SP: 30.00 | SPD L: 1.05 | DUTY L: 87 | [P]57.90 [I]11.80 [D]-2.10 (Err: 28.95) 
T: 2.39s | SP: 30.00 | SPD R: 1.05 | DUTY R: 87 | [P]57.90 [I]11.80 [D]-2.10 (Err: 28.95) 
T: 2.59s | SP: 30.00 | SPD L: 9.47 | DUTY L: 76 | [P]41.06 [I]15.91 [D]-16.82 (Err: 20.53) 
T: 2.59s | SP: 30.00 | SPD R: 9.47 | DUTY R: 76 | [P]41.06 [I]15.91 [D]-16.82 (Err: 20.53) 
T: 2.79s | SP: 30.00 | SPD L: 18.94 | DUTY L: 69 | [P]22.11 [I]18.13 [D]-18.92 (Err: 11.06) 
T: 2.79s | SP: 30.00 | SPD R: 20.00 | DUTY R: 67 | [P]20.01 [I]17.92 [D]-21.02 (Err: 10.00) 
T: 2.99s | SP: 30.00 | SPD L: 18.94 | DUTY L: 77 | [P]22.11 [I]20.34 [D]0.00 (Err: 11.06) 
T: 2.99s | SP: 30.00 | SPD R: 20.00 | DUTY R: 76 | [P]20.01 [I]19.92 [D]0.00 (Err: 10.00) 
T: 3.20s | SP: 30.00 | SPD L: 26.31 | DUTY L: 65 | [P]7.38 [I]21.08 [D]-14.72 (Err: 3.69) 
T: 3.20s | SP: 30.00 | SPD R: 28.42 | DUTY R: 63 | [P]3.17 [I]20.24 [D]-16.82 (Err: 1.58) 
T: 3.40s | SP: 30.00 | SPD L: 32.63 | DUTY L: 61 | [P]-5.25 [I]20.55 [D]-12.61 (Err: -2.63) 
T: 3.40s | SP: 30.00 | SPD R: 35.78 | DUTY R: 0 | [P]-11.57 [I]19.08 [D]-14.72 (Err: -5.78) 
T: 3.60s | SP: 30.00 | SPD L: 30.52 | DUTY L: 69 | [P]-1.04 [I]20.45 [D]4.20 (Err: -0.52) 
T: 3.60s | SP: 30.00 | SPD R: 33.68 | DUTY R: 66 | [P]-7.36 [I]18.34 [D]4.20 (Err: -3.68) 
T: 3.80s | SP: 30.00 | SPD L: 25.26 | DUTY L: 77 | [P]9.48 [I]21.40 [D]10.51 (Err: 4.74) 
T: 3.80s | SP: 30.00 | SPD R: 26.31 | DUTY R: 76 | [P]7.38 [I]19.08 [D]14.72 (Err: 3.69) 
T: 4.00s | SP: 30.00 | SPD L: 25.26 | DUTY L: 73 | [P]9.48 [I]22.35 [D]0.00 (Err: 4.74) 
T: 4.00s | SP: 30.00 | SPD R: 26.31 | DUTY R: 71 | [P]7.38 [I]19.82 [D]0.00 (Err: 3.69) 
T: 4.20s | SP: 30.00 | SPD L: 25.26 | DUTY L: 73 | [P]9.48 [I]23.30 [D]0.00 (Err: 4.74) 
T: 4.20s | SP: 30.00 | SPD R: 25.26 | DUTY R: 73 | [P]9.48 [I]20.77 [D]2.10 (Err: 4.74) 
T: 4.40s | SP: 30.00 | SPD L: 25.26 | DUTY L: 73 | [P]9.48 [I]24.25 [D]0.00 (Err: 4.74) 
T: 4.40s | SP: 30.00 | SPD R: 25.26 | DUTY R: 72 | [P]9.48 [I]21.72 [D]0.00 (Err: 4.74) 
T: 4.60s | SP: 30.00 | SPD L: 26.31 | DUTY L: 72 | [P]7.38 [I]24.99 [D]-2.10 (Err: 3.69) 
T: 4.60s | SP: 30.00 | SPD R: 27.36 | DUTY R: 69 | [P]5.27 [I]22.25 [D]-4.20 (Err: 2.64) 
T: 4.80s | SP: 30.00 | SPD L: 30.52 | DUTY L: 66 | [P]-1.04 [I]24.88 [D]-8.41 (Err: -0.52) 
T: 4.80s | SP: 30.00 | SPD R: 32.63 | DUTY R: 62 | [P]-5.25 [I]21.72 [D]-10.51 (Err: -2.63) 
T: 5.00s | SP: 30.00 | SPD L: 30.52 | DUTY L: 69 | [P]-1.04 [I]24.78 [D]0.00 (Err: -0.52) 
T: 5.00s | SP: 30.00 | SPD R: 32.63 | DUTY R: 66 | [P]-5.25 [I]21.20 [D]0.00 (Err: -2.63) 
T: 5.20s | SP: 30.00 | SPD L: 28.42 | DUTY L: 73 | [P]3.17 [I]25.10 [D]4.20 (Err: 1.58) 
