===== Starting pico ===== 
[Motor] Init start 
[Motor] Init done 
[Encoder] Init start 
[Encoder] Init done 
[Accelerometer] Init start 
[Accelerometer] Init done 
[Ultrasonic] Init start 
[Ultrasonic] Init done 
[Comms] Init start 
[Comms] Init done 
T: 0.00s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 0.00s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 0.25s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 0.25s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 0.50s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 0.50s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 0.75s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 0.75s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 1.01s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 1.01s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 1.26s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 1.26s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 1.51s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 1.51s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 1.76s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 1.76s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 2.01s | SP: 0.00 | SPD L: 1.05 | DUTY L: 0 | [P]-3.16 [I]0.00 [D]0.00 (Err: -1.05) 
T: 2.01s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 2.26s | SP: 0.00 | SPD L: 1.05 | DUTY L: 0 | [P]-3.16 [I]0.00 [D]0.00 (Err: -1.05) 
T: 2.26s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 2.51s | SP: 0.00 | SPD L: 1.05 | DUTY L: 0 | [P]-3.16 [I]0.00 [D]0.00 (Err: -1.05) 
T: 2.51s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
> [Motor] PID Target Setpoint 30 
T: 2.77s | SP: 30.00 | SPD L: 8.42 | DUTY L: 88 | [P]64.74 [I]12.52 [D]-1.05 (Err: 21.58) 
T: 2.77s | SP: 30.00 | SPD R: 8.42 | DUTY R: 88 | [P]64.74 [I]12.93 [D]-1.05 (Err: 21.58) 
T: 3.02s | SP: 30.00 | SPD L: 20.00 | DUTY L: 75 | [P]30.01 [I]20.41 [D]0.00 (Err: 10.00) 
T: 3.02s | SP: 30.00 | SPD R: 21.05 | DUTY R: 73 | [P]26.85 [I]20.55 [D]-1.05 (Err: 8.95) 
T: 3.27s | SP: 30.00 | SPD L: 29.47 | DUTY L: 62 | [P]1.60 [I]22.71 [D]0.00 (Err: 0.53) 
T: 3.27s | SP: 30.00 | SPD R: 30.52 | DUTY R: 60 | [P]-1.56 [I]22.46 [D]0.00 (Err: -0.52) 
T: 3.52s | SP: 30.00 | SPD L: 27.36 | DUTY L: 65 | [P]7.91 [I]21.82 [D]0.00 (Err: 2.64) 
T: 3.52s | SP: 30.00 | SPD R: 30.52 | DUTY R: 59 | [P]-1.56 [I]20.51 [D]0.00 (Err: -0.52) 
T: 3.77s | SP: 30.00 | SPD L: 21.05 | DUTY L: 75 | [P]26.85 [I]22.34 [D]0.00 (Err: 8.95) 
T: 3.77s | SP: 30.00 | SPD R: 23.15 | DUTY R: 70 | [P]20.54 [I]19.74 [D]0.00 (Err: 6.85) 
T: 4.02s | SP: 30.00 | SPD L: 18.94 | DUTY L: 79 | [P]33.17 [I]25.22 [D]0.00 (Err: 11.06) 
T: 4.02s | SP: 30.00 | SPD R: 21.05 | DUTY R: 74 | [P]26.85 [I]21.85 [D]-1.05 (Err: 8.95) 
T: 4.28s | SP: 30.00 | SPD L: 23.15 | DUTY L: 75 | [P]20.54 [I]28.62 [D]0.00 (Err: 6.85) 
T: 4.28s | SP: 30.00 | SPD R: 24.21 | DUTY R: 70 | [P]17.38 [I]24.45 [D]-1.05 (Err: 5.79) 
T: 4.53s | SP: 30.00 | SPD L: 27.36 | DUTY L: 68 | [P]7.91 [I]29.83 [D]-1.05 (Err: 2.64) 
T: 4.53s | SP: 30.00 | SPD R: 27.36 | DUTY R: 67 | [P]7.91 [I]25.45 [D]0.00 (Err: 2.64) 
T: 4.78s | SP: 30.00 | SPD L: 26.31 | DUTY L: 70 | [P]11.07 [I]29.85 [D]0.00 (Err: 3.69) 
T: 4.78s | SP: 30.00 | SPD R: 27.36 | DUTY R: 66 | [P]7.91 [I]24.89 [D]0.00 (Err: 2.64) 
T: 5.03s | SP: 30.00 | SPD L: 24.21 | DUTY L: 74 | [P]17.38 [I]30.37 [D]0.00 (Err: 5.79) 
T: 5.03s | SP: 30.00 | SPD R: 25.26 | DUTY R: 70 | [P]14.22 [I]24.97 [D]0.00 (Err: 4.74) 
T: 5.28s | SP: 30.00 | SPD L: 23.15 | DUTY L: 76 | [P]20.54 [I]31.78 [D]0.00 (Err: 6.85) 
T: 5.28s | SP: 30.00 | SPD R: 24.21 | DUTY R: 72 | [P]17.38 [I]25.81 [D]0.00 (Err: 5.79) 
T: 5.53s | SP: 30.00 | SPD L: 25.26 | DUTY L: 73 | [P]14.22 [I]33.39 [D]-1.05 (Err: 4.74) 
T: 5.53s | SP: 30.00 | SPD R: 26.31 | DUTY R: 68 | [P]11.07 [I]26.85 [D]-1.05 (Err: 3.69) 
T: 5.78s | SP: 30.00 | SPD L: 27.36 | DUTY L: 71 | [P]7.91 [I]34.07 [D]0.00 (Err: 2.64) 
T: 5.78s | SP: 30.00 | SPD R: 27.36 | DUTY R: 68 | [P]7.91 [I]27.18 [D]0.00 (Err: 2.64) 
T: 6.04s | SP: 30.00 | SPD L: 26.31 | DUTY L: 73 | [P]11.07 [I]34.00 [D]0.00 (Err: 3.69) 
T: 6.04s | SP: 30.00 | SPD R: 27.36 | DUTY R: 67 | [P]7.91 [I]26.97 [D]-1.05 (Err: 2.64) 
T: 6.29s | SP: 30.00 | SPD L: 25.26 | DUTY L: 74 | [P]14.22 [I]34.39 [D]-1.05 (Err: 4.74) 
T: 6.29s | SP: 30.00 | SPD R: 25.26 | DUTY R: 71 | [P]14.22 [I]27.02 [D]0.00 (Err: 4.74) 
T: 6.54s | SP: 30.00 | SPD L: 25.26 | DUTY L: 75 | [P]14.22 [I]35.34 [D]0.00 (Err: 4.74) 
T: 6.54s | SP: 30.00 | SPD R: 26.31 | DUTY R: 69 | [P]11.07 [I]27.61 [D]-1.05 (Err: 3.69) 
T: 6.79s | SP: 30.00 | SPD L: 26.31 | DUTY L: 74 | [P]11.07 [I]36.19 [D]0.00 (Err: 3.69) 
T: 6.79s | SP: 30.00 | SPD R: 26.31 | DUTY R: 70 | [P]11.07 [I]28.20 [D]0.00 (Err: 3.69) 
T: 7.04s | SP: 30.00 | SPD L: 26.31 | DUTY L: 74 | [P]11.07 [I]36.46 [D]0.00 (Err: 3.69) 
T: 7.04s | SP: 30.00 | SPD R: 27.36 | DUTY R: 68 | [P]7.91 [I]28.52 [D]0.00 (Err: 2.64) 
T: 7.29s | SP: 30.00 | SPD L: 26.31 | DUTY L: 74 | [P]11.07 [I]36.73 [D]0.00 (Err: 3.69) 
T: 7.29s | SP: 30.00 | SPD R: 27.36 | DUTY R: 68 | [P]7.91 [I]28.32 [D]0.00 (Err: 2.64) 
T: 7.55s | SP: 30.00 | SPD L: 26.31 | DUTY L: 74 | [P]11.07 [I]37.00 [D]0.00 (Err: 3.69) 
T: 7.55s | SP: 30.00 | SPD R: 26.31 | DUTY R: 70 | [P]11.07 [I]28.36 [D]0.00 (Err: 3.69) 
T: 7.80s | SP: 30.00 | SPD L: 26.31 | DUTY L: 74 | [P]11.07 [I]37.27 [D]0.00 (Err: 3.69) 
T: 7.80s | SP: 30.00 | SPD R: 26.31 | DUTY R: 70 | [P]11.07 [I]28.78 [D]0.00 (Err: 3.69) 
T: 8.05s | SP: 30.00 | SPD L: 26.31 | DUTY L: 74 | [P]11.07 [I]37.54 [D]0.00 (Err: 3.69) 
T: 8.05s | SP: 30.00 | SPD R: 26.31 | DUTY R: 70 | [P]11.07 [I]29.05 [D]0.00 (Err: 3.69) 
T: 8.30s | SP: 30.00 | SPD L: 27.36 | DUTY L: 72 | [P]7.91 [I]37.87 [D]-1.05 (Err: 2.64) 
T: 8.30s | SP: 30.00 | SPD R: 27.36 | DUTY R: 68 | [P]7.91 [I]29.40 [D]-1.05 (Err: 2.64) 
T: 8.55s | SP: 30.00 | SPD L: 27.36 | DUTY L: 73 | [P]7.91 [I]38.14 [D]-1.05 (Err: 2.64) 
T: 8.55s | SP: 30.00 | SPD R: 27.36 | DUTY R: 69 | [P]7.91 [I]29.59 [D]0.00 (Err: 2.64) 
T: 8.80s | SP: 30.00 | SPD L: 27.36 | DUTY L: 73 | [P]7.91 [I]38.33 [D]0.00 (Err: 2.64) 
T: 8.80s | SP: 30.00 | SPD R: 27.36 | DUTY R: 69 | [P]7.91 [I]29.67 [D]0.00 (Err: 2.64) 
T: 9.05s | SP: 30.00 | SPD L: 27.36 | DUTY L: 73 | [P]7.91 [I]38.43 [D]0.00 (Err: 2.64) 
T: 9.05s | SP: 30.00 | SPD R: 27.36 | DUTY R: 69 | [P]7.91 [I]29.73 [D]0.00 (Err: 2.64) 
T: 9.31s | SP: 30.00 | SPD L: 27.36 | DUTY L: 73 | [P]7.91 [I]38.53 [D]0.00 (Err: 2.64) 
T: 9.31s | SP: 30.00 | SPD R: 27.36 | DUTY R: 69 | [P]7.91 [I]29.68 [D]0.00 (Err: 2.64) 
T: 9.56s | SP: 30.00 | SPD L: 27.36 | DUTY L: 73 | [P]7.91 [I]38.57 [D]0.00 (Err: 2.64) 
T: 9.56s | SP: 30.00 | SPD R: 27.36 | DUTY R: 69 | [P]7.91 [I]29.63 [D]0.00 (Err: 2.64) 
T: 9.81s | SP: 30.00 | SPD L: 27.36 | DUTY L: 73 | [P]7.91 [I]38.56 [D]0.00 (Err: 2.64) 
T: 9.81s | SP: 30.00 | SPD R: 26.31 | DUTY R: 70 | [P]11.07 [I]29.69 [D]0.00 (Err: 3.69) 
T: 10.06s | SP: 30.00 | SPD L: 27.36 | DUTY L: 73 | [P]7.91 [I]38.73 [D]0.00 (Err: 2.64) 
T: 10.06s | SP: 30.00 | SPD R: 27.36 | DUTY R: 69 | [P]7.91 [I]30.26 [D]-1.05 (Err: 2.64) 
T: 10.31s | SP: 30.00 | SPD L: 27.36 | DUTY L: 73 | [P]7.91 [I]38.83 [D]0.00 (Err: 2.64) 
T: 10.31s | SP: 30.00 | SPD R: 28.42 | DUTY R: 68 | [P]4.75 [I]30.40 [D]0.00 (Err: 1.58) 
T: 10.56s | SP: 30.00 | SPD L: 27.36 | DUTY L: 73 | [P]7.91 [I]38.91 [D]0.00 (Err: 2.64) 
T: 10.56s | SP: 30.00 | SPD R: 28.42 | DUTY R: 67 | [P]4.75 [I]30.08 [D]0.00 (Err: 1.58) 
T: 10.82s | SP: 30.00 | SPD L: 28.42 | DUTY L: 71 | [P]4.75 [I]38.84 [D]-1.05 (Err: 1.58) 
T: 10.82s | SP: 30.00 | SPD R: 27.36 | DUTY R: 69 | [P]7.91 [I]29.99 [D]0.00 (Err: 2.64) 
T: 11.07s | SP: 30.00 | SPD L: 27.36 | DUTY L: 73 | [P]7.91 [I]38.83 [D]0.00 (Err: 2.64) 
T: 11.07s | SP: 30.00 | SPD R: 27.36 | DUTY R: 69 | [P]7.91 [I]30.21 [D]0.00 (Err: 2.64) 
T: 11.32s | SP: 30.00 | SPD L: 28.42 | DUTY L: 71 | [P]4.75 [I]38.85 [D]-1.05 (Err: 1.58) 
T: 11.32s | SP: 30.00 | SPD R: 27.36 | DUTY R: 69 | [P]7.91 [I]30.34 [D]0.00 (Err: 2.64) 
T: 11.57s | SP: 30.00 | SPD L: 27.36 | DUTY L: 73 | [P]7.91 [I]39.14 [D]-1.05 (Err: 2.64) 
T: 11.57s | SP: 30.00 | SPD R: 28.42 | DUTY R: 67 | [P]4.75 [I]30.54 [D]-1.05 (Err: 1.58) 
T: 11.82s | SP: 30.00 | SPD L: 28.42 | DUTY L: 72 | [P]4.75 [I]39.54 [D]0.00 (Err: 1.58) 
T: 11.82s | SP: 30.00 | SPD R: 28.42 | DUTY R: 68 | [P]4.75 [I]30.60 [D]0.00 (Err: 1.58) 
T: 12.07s | SP: 30.00 | SPD L: 28.42 | DUTY L: 72 | [P]4.75 [I]39.34 [D]0.00 (Err: 1.58) 
T: 12.07s | SP: 30.00 | SPD R: 28.42 | DUTY R: 68 | [P]4.75 [I]30.53 [D]0.00 (Err: 1.58) 
T: 12.33s | SP: 30.00 | SPD L: 28.42 | DUTY L: 72 | [P]4.75 [I]39.18 [D]0.00 (Err: 1.58) 
T: 12.33s | SP: 30.00 | SPD R: 28.42 | DUTY R: 68 | [P]4.75 [I]30.42 [D]0.00 (Err: 1.58) 
T: 12.58s | SP: 30.00 | SPD L: 27.36 | DUTY L: 74 | [P]7.91 [I]39.28 [D]0.00 (Err: 2.64) 
T: 12.58s | SP: 30.00 | SPD R: 27.36 | DUTY R: 69 | [P]7.91 [I]30.46 [D]0.00 (Err: 2.64) 
T: 12.83s | SP: 30.00 | SPD L: 27.36 | DUTY L: 74 | [P]7.91 [I]39.64 [D]0.00 (Err: 2.64) 
T: 12.83s | SP: 30.00 | SPD R: 27.36 | DUTY R: 69 | [P]7.91 [I]30.75 [D]0.00 (Err: 2.64) 
T: 13.08s | SP: 30.00 | SPD L: 28.42 | DUTY L: 72 | [P]4.75 [I]39.78 [D]-1.05 (Err: 1.58) 
T: 13.08s | SP: 30.00 | SPD R: 28.42 | DUTY R: 67 | [P]4.75 [I]30.83 [D]-1.05 (Err: 1.58) 
T: 13.33s | SP: 30.00 | SPD L: 28.42 | DUTY L: 72 | [P]4.75 [I]39.94 [D]0.00 (Err: 1.58) 
T: 13.33s | SP: 30.00 | SPD R: 28.42 | DUTY R: 68 | [P]4.75 [I]31.03 [D]0.00 (Err: 1.58) 
T: 13.58s | SP: 30.00 | SPD L: 28.42 | DUTY L: 72 | [P]4.75 [I]39.98 [D]0.00 (Err: 1.58) 
T: 13.58s | SP: 30.00 | SPD R: 28.42 | DUTY R: 68 | [P]4.75 [I]31.03 [D]0.00 (Err: 1.58) 
T: 13.83s | SP: 30.00 | SPD L: 28.42 | DUTY L: 72 | [P]4.75 [I]39.91 [D]0.00 (Err: 1.58) 
T: 13.83s | SP: 30.00 | SPD R: 28.42 | DUTY R: 68 | [P]4.75 [I]30.94 [D]0.00 (Err: 1.58) 
T: 14.09s | SP: 30.00 | SPD L: 28.42 | DUTY L: 72 | [P]4.75 [I]39.82 [D]0.00 (Err: 1.58) 
T: 14.09s | SP: 30.00 | SPD R: 29.47 | DUTY R: 66 | [P]1.60 [I]30.78 [D]-1.05 (Err: 0.53) 
T: 14.34s | SP: 30.00 | SPD L: 27.36 | DUTY L: 74 | [P]7.91 [I]39.92 [D]0.00 (Err: 2.64) 
T: 14.34s | SP: 30.00 | SPD R: 27.36 | DUTY R: 69 | [P]7.91 [I]30.77 [D]0.00 (Err: 2.64) 
T: 14.59s | SP: 30.00 | SPD L: 28.42 | DUTY L: 72 | [P]4.75 [I]40.19 [D]-1.05 (Err: 1.58) 
T: 14.59s | SP: 30.00 | SPD R: 28.42 | DUTY R: 68 | [P]4.75 [I]31.02 [D]0.00 (Err: 1.58) 
T: 14.84s | SP: 30.00 | SPD L: 28.42 | DUTY L: 73 | [P]4.75 [I]40.45 [D]0.00 (Err: 1.58) 
T: 14.84s | SP: 30.00 | SPD R: 28.42 | DUTY R: 68 | [P]4.75 [I]31.27 [D]0.00 (Err: 1.58) 
T: 15.09s | SP: 30.00 | SPD L: 29.47 | DUTY L: 71 | [P]1.60 [I]40.49 [D]-1.05 (Err: 0.53) 
T: 15.09s | SP: 30.00 | SPD R: 28.42 | DUTY R: 68 | [P]4.75 [I]31.37 [D]0.00 (Err: 1.58) 
T: 15.34s | SP: 30.00 | SPD L: 29.47 | DUTY L: 70 | [P]1.60 [I]40.42 [D]-1.05 (Err: 0.53) 
T: 15.34s | SP: 30.00 | SPD R: 29.47 | DUTY R: 66 | [P]1.60 [I]31.28 [D]-1.05 (Err: 0.53) 
T: 15.60s | SP: 30.00 | SPD L: 29.47 | DUTY L: 70 | [P]1.60 [I]40.33 [D]-1.05 (Err: 0.53) 
T: 15.60s | SP: 30.00 | SPD R: 29.47 | DUTY R: 66 | [P]1.60 [I]31.10 [D]0.00 (Err: 0.53) 
T: 15.85s | SP: 30.00 | SPD L: 29.47 | DUTY L: 70 | [P]1.60 [I]40.15 [D]-1.05 (Err: 0.53) 
T: 15.85s | SP: 30.00 | SPD R: 29.47 | DUTY R: 66 | [P]1.60 [I]30.84 [D]0.00 (Err: 0.53) 
T: 16.10s | SP: 30.00 | SPD L: 28.42 | DUTY L: 72 | [P]4.75 [I]40.23 [D]-1.05 (Err: 1.58) 
T: 16.10s | SP: 30.00 | SPD R: 28.42 | DUTY R: 68 | [P]4.75 [I]30.81 [D]0.00 (Err: 1.58) 
T: 16.35s | SP: 30.00 | SPD L: 28.42 | DUTY L: 73 | [P]4.75 [I]40.60 [D]0.00 (Err: 1.58) 
T: 16.35s | SP: 30.00 | SPD R: 28.42 | DUTY R: 68 | [P]4.75 [I]31.19 [D]0.00 (Err: 1.58) 
T: 16.60s | SP: 30.00 | SPD L: 29.47 | DUTY L: 71 | [P]1.60 [I]40.75 [D]-1.05 (Err: 0.53) 
T: 16.60s | SP: 30.00 | SPD R: 29.47 | DUTY R: 66 | [P]1.60 [I]31.37 [D]-1.05 (Err: 0.53) 
T: 16.85s | SP: 30.00 | SPD L: 29.47 | DUTY L: 71 | [P]1.60 [I]40.72 [D]0.00 (Err: 0.53) 
T: 16.85s | SP: 30.00 | SPD R: 29.47 | DUTY R: 66 | [P]1.60 [I]31.38 [D]0.00 (Err: 0.53) 
T: 17.10s | SP: 30.00 | SPD L: 29.47 | DUTY L: 71 | [P]1.60 [I]40.56 [D]0.00 (Err: 0.53) 
T: 17.10s | SP: 30.00 | SPD R: 29.47 | DUTY R: 66 | [P]1.60 [I]31.23 [D]0.00 (Err: 0.53) 
T: 17.36s | SP: 30.00 | SPD L: 29.47 | DUTY L: 71 | [P]1.60 [I]40.34 [D]0.00 (Err: 0.53) 
T: 17.36s | SP: 30.00 | SPD R: 29.47 | DUTY R: 66 | [P]1.60 [I]31.01 [D]0.00 (Err: 0.53) 
T: 17.61s | SP: 30.00 | SPD L: 28.42 | DUTY L: 73 | [P]4.75 [I]40.36 [D]0.00 (Err: 1.58) 
T: 17.61s | SP: 30.00 | SPD R: 28.42 | DUTY R: 68 | [P]4.75 [I]31.07 [D]0.00 (Err: 1.58) 
T: 17.86s | SP: 30.00 | SPD L: 29.47 | DUTY L: 71 | [P]1.60 [I]40.58 [D]-1.05 (Err: 0.53) 
T: 17.86s | SP: 30.00 | SPD R: 29.47 | DUTY R: 66 | [P]1.60 [I]31.25 [D]-1.05 (Err: 0.53) 
T: 18.11s | SP: 30.00 | SPD L: 29.47 | DUTY L: 71 | [P]1.60 [I]40.76 [D]0.00 (Err: 0.53) 
T: 18.11s | SP: 30.00 | SPD R: 29.47 | DUTY R: 67 | [P]1.60 [I]31.49 [D]0.00 (Err: 0.53) 
T: 18.36s | SP: 30.00 | SPD L: 29.47 | DUTY L: 71 | [P]1.60 [I]40.78 [D]0.00 (Err: 0.53) 
T: 18.36s | SP: 30.00 | SPD R: 29.47 | DUTY R: 67 | [P]1.60 [I]31.53 [D]0.00 (Err: 0.53) 
T: 18.61s | SP: 30.00 | SPD L: 30.52 | DUTY L: 69 | [P]-1.56 [I]40.66 [D]-1.05 (Err: -0.52) 
T: 18.61s | SP: 30.00 | SPD R: 29.47 | DUTY R: 67 | [P]1.60 [I]31.44 [D]0.00 (Err: 0.53) 
T: 18.87s | SP: 30.00 | SPD L: 30.52 | DUTY L: 69 | [P]-1.56 [I]40.45 [D]-1.05 (Err: -0.52) 
