[Motor] Init done 
[Encoder] Init start 
[Encoder] Init done 
[Accelerometer] Init start 
[Accelerometer] Init done 
[Ultrasonic] Init start 
[Ultrasonic] Init done 
[Comms] Init start 
[Comms] Init done 
T: 0.00s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 0.00s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 0.25s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 0.25s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 0.50s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 0.50s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 0.75s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 0.75s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 1.01s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 1.01s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 1.26s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 1.26s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 1.51s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 1.51s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 1.76s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 1.76s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 2.01s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 2.01s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 2.26s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 2.26s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 2.51s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 2.51s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 2.77s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 2.77s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 3.02s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 3.02s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 3.27s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 3.27s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
> [Motor] PID Target Setpoint 30 
T: 3.52s | SP: 30.00 | SPD L: 1.05 | DUTY L: 100 | [P]144.74 [I]8.09 [D]0.00 (Err: 28.95) 
T: 3.52s | SP: 30.00 | SPD R: 1.05 | DUTY R: 100 | [P]144.74 [I]8.03 [D]0.00 (Err: 28.95) 
T: 3.77s | SP: 30.00 | SPD L: 12.63 | DUTY L: 100 | [P]86.85 [I]25.59 [D]0.00 (Err: 17.37) 
T: 3.77s | SP: 30.00 | SPD R: 13.68 | DUTY R: 98 | [P]81.59 [I]25.11 [D]-10.49 (Err: 16.32) 
T: 4.02s | SP: 30.00 | SPD L: 26.31 | DUTY L: 76 | [P]18.45 [I]32.99 [D]0.00 (Err: 3.69) 
T: 4.02s | SP: 30.00 | SPD R: 27.36 | DUTY R: 67 | [P]13.18 [I]32.17 [D]-10.48 (Err: 2.64) 
T: 4.27s | SP: 30.00 | SPD L: 34.73 | DUTY L: 54 | [P]-23.65 [I]31.85 [D]0.00 (Err: -4.73) 
T: 4.27s | SP: 30.00 | SPD R: 34.73 | DUTY R: 53 | [P]-23.65 [I]30.61 [D]0.00 (Err: -4.73) 
T: 4.53s | SP: 30.00 | SPD L: 25.26 | DUTY L: 76 | [P]23.71 [I]27.93 [D]0.00 (Err: 4.74) 
T: 4.53s | SP: 30.00 | SPD R: 26.31 | DUTY R: 72 | [P]18.45 [I]26.12 [D]0.00 (Err: 3.69) 
T: 4.78s | SP: 30.00 | SPD L: 17.89 | DUTY L: 95 | [P]60.54 [I]30.18 [D]0.00 (Err: 12.11) 
T: 4.78s | SP: 30.00 | SPD R: 21.05 | DUTY R: 86 | [P]44.76 [I]27.22 [D]0.00 (Err: 8.95) 
T: 5.03s | SP: 30.00 | SPD L: 20.00 | DUTY L: 88 | [P]50.02 [I]35.61 [D]-10.48 (Err: 10.00) 
T: 5.03s | SP: 30.00 | SPD R: 20.00 | DUTY R: 91 | [P]50.02 [I]31.22 [D]0.00 (Err: 10.00) 
T: 5.28s | SP: 30.00 | SPD L: 29.47 | DUTY L: 66 | [P]2.66 [I]39.01 [D]-10.49 (Err: 0.53) 
T: 5.28s | SP: 30.00 | SPD R: 28.42 | DUTY R: 66 | [P]7.92 [I]34.49 [D]-10.49 (Err: 1.58) 
T: 5.53s | SP: 30.00 | SPD L: 30.52 | DUTY L: 67 | [P]-2.60 [I]37.10 [D]0.00 (Err: -0.52) 
T: 5.53s | SP: 30.00 | SPD R: 30.52 | DUTY R: 65 | [P]-2.60 [I]32.84 [D]0.00 (Err: -0.52) 
T: 5.78s | SP: 30.00 | SPD L: 25.26 | DUTY L: 80 | [P]23.71 [I]35.66 [D]0.00 (Err: 4.74) 
T: 5.78s | SP: 30.00 | SPD R: 28.42 | DUTY R: 64 | [P]7.92 [I]30.64 [D]-10.49 (Err: 1.58) 
T: 6.04s | SP: 30.00 | SPD L: 23.15 | DUTY L: 86 | [P]34.23 [I]36.89 [D]0.00 (Err: 6.85) 
T: 6.04s | SP: 30.00 | SPD R: 24.21 | DUTY R: 75 | [P]28.97 [I]30.69 [D]-10.49 (Err: 5.79) 
T: 6.29s | SP: 30.00 | SPD L: 24.21 | DUTY L: 84 | [P]28.97 [I]39.04 [D]0.00 (Err: 5.79) 
T: 6.29s | SP: 30.00 | SPD R: 25.26 | DUTY R: 73 | [P]23.71 [I]32.62 [D]-10.49 (Err: 4.74) 
T: 6.54s | SP: 30.00 | SPD L: 27.36 | DUTY L: 77 | [P]13.18 [I]39.93 [D]0.00 (Err: 2.64) 
T: 6.54s | SP: 30.00 | SPD R: 27.36 | DUTY R: 68 | [P]13.18 [I]33.51 [D]-10.49 (Err: 2.64) 
T: 6.79s | SP: 30.00 | SPD L: 28.42 | DUTY L: 74 | [P]7.92 [I]39.22 [D]0.00 (Err: 1.58) 
T: 6.79s | SP: 30.00 | SPD R: 28.42 | DUTY R: 71 | [P]7.92 [I]33.15 [D]0.00 (Err: 1.58) 
T: 7.04s | SP: 30.00 | SPD L: 26.31 | DUTY L: 79 | [P]18.45 [I]38.64 [D]0.00 (Err: 3.69) 
T: 7.04s | SP: 30.00 | SPD R: 28.42 | DUTY R: 70 | [P]7.92 [I]32.07 [D]0.00 (Err: 1.58) 
T: 7.29s | SP: 30.00 | SPD L: 25.26 | DUTY L: 81 | [P]23.71 [I]39.21 [D]0.00 (Err: 4.74) 
T: 7.29s | SP: 30.00 | SPD R: 25.26 | DUTY R: 78 | [P]23.71 [I]31.84 [D]0.00 (Err: 4.74) 
T: 7.55s | SP: 30.00 | SPD L: 26.31 | DUTY L: 79 | [P]18.45 [I]40.15 [D]0.00 (Err: 3.69) 
T: 7.55s | SP: 30.00 | SPD R: 26.31 | DUTY R: 76 | [P]18.45 [I]32.88 [D]0.00 (Err: 3.69) 
T: 7.80s | SP: 30.00 | SPD L: 27.36 | DUTY L: 77 | [P]13.18 [I]40.50 [D]0.00 (Err: 2.64) 
T: 7.80s | SP: 30.00 | SPD R: 27.36 | DUTY R: 68 | [P]13.18 [I]33.28 [D]-10.49 (Err: 2.64) 
T: 8.05s | SP: 30.00 | SPD L: 27.36 | DUTY L: 77 | [P]13.18 [I]40.08 [D]0.00 (Err: 2.64) 
T: 8.05s | SP: 30.00 | SPD R: 28.42 | DUTY R: 71 | [P]7.92 [I]33.12 [D]0.00 (Err: 1.58) 
T: 8.30s | SP: 30.00 | SPD L: 27.36 | DUTY L: 77 | [P]13.18 [I]40.07 [D]0.00 (Err: 2.64) 
T: 8.30s | SP: 30.00 | SPD R: 28.42 | DUTY R: 70 | [P]7.92 [I]32.48 [D]0.00 (Err: 1.58) 
T: 8.55s | SP: 30.00 | SPD L: 26.31 | DUTY L: 79 | [P]18.45 [I]40.41 [D]0.00 (Err: 3.69) 
T: 8.55s | SP: 30.00 | SPD R: 27.36 | DUTY R: 67 | [P]13.18 [I]32.21 [D]-10.49 (Err: 2.64) 
T: 8.80s | SP: 30.00 | SPD L: 27.36 | DUTY L: 72 | [P]13.18 [I]41.07 [D]-10.49 (Err: 2.64) 
T: 8.80s | SP: 30.00 | SPD R: 27.36 | DUTY R: 68 | [P]13.18 [I]32.62 [D]-10.49 (Err: 2.64) 
T: 9.05s | SP: 30.00 | SPD L: 28.42 | DUTY L: 75 | [P]7.92 [I]41.10 [D]0.00 (Err: 1.58) 
T: 9.05s | SP: 30.00 | SPD R: 27.36 | DUTY R: 73 | [P]13.18 [I]32.74 [D]0.00 (Err: 2.64) 
T: 9.31s | SP: 30.00 | SPD L: 28.42 | DUTY L: 69 | [P]7.92 [I]40.55 [D]-10.49 (Err: 1.58) 
T: 9.31s | SP: 30.00 | SPD R: 27.36 | DUTY R: 73 | [P]13.18 [I]32.67 [D]0.00 (Err: 2.64) 
T: 9.56s | SP: 30.00 | SPD L: 26.31 | DUTY L: 79 | [P]18.45 [I]40.48 [D]0.00 (Err: 3.69) 
T: 9.56s | SP: 30.00 | SPD R: 27.36 | DUTY R: 73 | [P]13.18 [I]32.54 [D]0.00 (Err: 2.64) 
T: 9.81s | SP: 30.00 | SPD L: 27.36 | DUTY L: 72 | [P]13.18 [I]41.01 [D]-10.49 (Err: 2.64) 
T: 9.81s | SP: 30.00 | SPD R: 27.36 | DUTY R: 73 | [P]13.18 [I]32.40 [D]0.00 (Err: 2.64) 
T: 10.06s | SP: 30.00 | SPD L: 27.36 | DUTY L: 77 | [P]13.18 [I]41.45 [D]0.00 (Err: 2.64) 
T: 10.06s | SP: 30.00 | SPD R: 28.42 | DUTY R: 65 | [P]7.92 [I]32.49 [D]-10.48 (Err: 1.58) 
T: 10.31s | SP: 30.00 | SPD L: 27.36 | DUTY L: 77 | [P]13.18 [I]41.53 [D]0.00 (Err: 2.64) 
T: 10.31s | SP: 30.00 | SPD R: 27.36 | DUTY R: 68 | [P]13.18 [I]32.60 [D]-10.49 (Err: 2.64) 
T: 10.56s | SP: 30.00 | SPD L: 28.42 | DUTY L: 69 | [P]7.92 [I]41.43 [D]-10.49 (Err: 1.58) 
T: 10.56s | SP: 30.00 | SPD R: 27.36 | DUTY R: 73 | [P]13.18 [I]33.14 [D]0.00 (Err: 2.64) 
T: 10.82s | SP: 30.00 | SPD L: 28.42 | DUTY L: 69 | [P]7.92 [I]41.26 [D]-10.49 (Err: 1.58) 
T: 10.82s | SP: 30.00 | SPD R: 29.47 | DUTY R: 63 | [P]2.66 [I]33.00 [D]-10.49 (Err: 0.53) 
T: 11.07s | SP: 30.00 | SPD L: 27.36 | DUTY L: 72 | [P]13.18 [I]41.35 [D]-10.49 (Err: 2.64) 
T: 11.07s | SP: 30.00 | SPD R: 27.36 | DUTY R: 73 | [P]13.18 [I]32.52 [D]0.00 (Err: 2.64) 
T: 11.32s | SP: 30.00 | SPD L: 27.36 | DUTY L: 77 | [P]13.18 [I]41.75 [D]0.00 (Err: 2.64) 
T: 11.32s | SP: 30.00 | SPD R: 27.36 | DUTY R: 73 | [P]13.18 [I]32.83 [D]0.00 (Err: 2.64) 
T: 11.57s | SP: 30.00 | SPD L: 28.42 | DUTY L: 70 | [P]7.92 [I]42.03 [D]-10.49 (Err: 1.58) 
T: 11.57s | SP: 30.00 | SPD R: 28.42 | DUTY R: 65 | [P]7.92 [I]33.14 [D]-10.49 (Err: 1.58) 
T: 11.82s | SP: 30.00 | SPD L: 28.42 | DUTY L: 75 | [P]7.92 [I]41.99 [D]0.00 (Err: 1.58) 
T: 11.82s | SP: 30.00 | SPD R: 28.42 | DUTY R: 71 | [P]7.92 [I]33.19 [D]0.00 (Err: 1.58) 
T: 12.07s | SP: 30.00 | SPD L: 28.42 | DUTY L: 75 | [P]7.92 [I]41.86 [D]0.00 (Err: 1.58) 
T: 12.07s | SP: 30.00 | SPD R: 28.42 | DUTY R: 70 | [P]7.92 [I]33.06 [D]0.00 (Err: 1.58) 
T: 12.33s | SP: 30.00 | SPD L: 28.42 | DUTY L: 75 | [P]7.92 [I]41.66 [D]0.00 (Err: 1.58) 
T: 12.33s | SP: 30.00 | SPD R: 28.42 | DUTY R: 70 | [P]7.92 [I]32.86 [D]0.00 (Err: 1.58) 
T: 12.58s | SP: 30.00 | SPD L: 27.36 | DUTY L: 77 | [P]13.18 [I]41.68 [D]0.00 (Err: 2.64) 
T: 12.58s | SP: 30.00 | SPD R: 27.36 | DUTY R: 73 | [P]13.18 [I]32.98 [D]0.00 (Err: 2.64) 
T: 12.83s | SP: 30.00 | SPD L: 27.36 | DUTY L: 78 | [P]13.18 [I]42.12 [D]0.00 (Err: 2.64) 
T: 12.83s | SP: 30.00 | SPD R: 27.36 | DUTY R: 73 | [P]13.18 [I]33.38 [D]0.00 (Err: 2.64) 
T: 13.08s | SP: 30.00 | SPD L: 28.42 | DUTY L: 75 | [P]7.92 [I]42.43 [D]0.00 (Err: 1.58) 
T: 13.08s | SP: 30.00 | SPD R: 28.42 | DUTY R: 71 | [P]7.92 [I]33.75 [D]0.00 (Err: 1.58) 
T: 13.33s | SP: 30.00 | SPD L: 28.42 | DUTY L: 75 | [P]7.92 [I]42.35 [D]0.00 (Err: 1.58) 
T: 13.33s | SP: 30.00 | SPD R: 28.42 | DUTY R: 71 | [P]7.92 [I]33.81 [D]0.00 (Err: 1.58) 
T: 13.58s | SP: 30.00 | SPD L: 28.42 | DUTY L: 75 | [P]7.92 [I]42.22 [D]0.00 (Err: 1.58) 
T: 13.58s | SP: 30.00 | SPD R: 28.42 | DUTY R: 71 | [P]7.92 [I]33.67 [D]0.00 (Err: 1.58) 
T: 13.83s | SP: 30.00 | SPD L: 28.42 | DUTY L: 75 | [P]7.92 [I]41.95 [D]0.00 (Err: 1.58) 
T: 13.83s | SP: 30.00 | SPD R: 29.47 | DUTY R: 63 | [P]2.66 [I]33.37 [D]-10.49 (Err: 0.53) 
T: 14.09s | SP: 30.00 | SPD L: 27.36 | DUTY L: 78 | [P]13.18 [I]42.04 [D]0.00 (Err: 2.64) 
T: 14.09s | SP: 30.00 | SPD R: 27.36 | DUTY R: 73 | [P]13.18 [I]33.43 [D]0.00 (Err: 2.64) 
T: 14.34s | SP: 30.00 | SPD L: 28.42 | DUTY L: 75 | [P]7.92 [I]42.41 [D]0.00 (Err: 1.58) 
T: 14.34s | SP: 30.00 | SPD R: 28.42 | DUTY R: 66 | [P]7.92 [I]33.83 [D]-10.48 (Err: 1.58) 
T: 14.59s | SP: 30.00 | SPD L: 28.42 | DUTY L: 75 | [P]7.92 [I]42.69 [D]0.00 (Err: 1.58) 
T: 14.59s | SP: 30.00 | SPD R: 28.42 | DUTY R: 71 | [P]7.92 [I]34.14 [D]0.00 (Err: 1.58) 
T: 14.84s | SP: 30.00 | SPD L: 29.47 | DUTY L: 67 | [P]2.66 [I]42.61 [D]-10.49 (Err: 0.53) 
T: 14.84s | SP: 30.00 | SPD R: 29.47 | DUTY R: 63 | [P]2.66 [I]34.19 [D]-10.49 (Err: 0.53) 
T: 15.09s | SP: 30.00 | SPD L: 29.47 | DUTY L: 67 | [P]2.66 [I]42.38 [D]-10.49 (Err: 0.53) 
T: 15.09s | SP: 30.00 | SPD R: 29.47 | DUTY R: 63 | [P]2.66 [I]34.02 [D]-10.49 (Err: 0.53) 
T: 15.34s | SP: 30.00 | SPD L: 29.47 | DUTY L: 67 | [P]2.66 [I]42.15 [D]-10.49 (Err: 0.53) 
T: 15.34s | SP: 30.00 | SPD R: 29.47 | DUTY R: 63 | [P]2.66 [I]33.79 [D]-10.49 (Err: 0.53) 
T: 15.60s | SP: 30.00 | SPD L: 28.42 | DUTY L: 70 | [P]7.92 [I]42.30 [D]-10.49 (Err: 1.58) 
T: 15.60s | SP: 30.00 | SPD R: 28.42 | DUTY R: 71 | [P]7.92 [I]33.87 [D]0.00 (Err: 1.58) 
T: 15.85s | SP: 30.00 | SPD L: 28.42 | DUTY L: 75 | [P]7.92 [I]42.64 [D]0.00 (Err: 1.58) 
T: 15.85s | SP: 30.00 | SPD R: 28.42 | DUTY R: 71 | [P]7.92 [I]34.18 [D]0.00 (Err: 1.58) 
T: 16.10s | SP: 30.00 | SPD L: 29.47 | DUTY L: 67 | [P]2.66 [I]42.62 [D]-10.49 (Err: 0.53) 
T: 16.10s | SP: 30.00 | SPD R: 29.47 | DUTY R: 63 | [P]2.66 [I]34.24 [D]-10.49 (Err: 0.53) 
T: 16.35s | SP: 30.00 | SPD L: 29.47 | DUTY L: 73 | [P]2.66 [I]42.65 [D]0.00 (Err: 0.53) 
T: 16.35s | SP: 30.00 | SPD R: 29.47 | DUTY R: 68 | [P]2.66 [I]34.26 [D]0.00 (Err: 0.53) 
T: 16.60s | SP: 30.00 | SPD L: 29.47 | DUTY L: 73 | [P]2.66 [I]42.51 [D]0.00 (Err: 0.53) 
T: 16.60s | SP: 30.00 | SPD R: 29.47 | DUTY R: 68 | [P]2.66 [I]34.12 [D]0.00 (Err: 0.53) 
T: 16.85s | SP: 30.00 | SPD L: 29.47 | DUTY L: 72 | [P]2.66 [I]42.27 [D]0.00 (Err: 0.53) 
T: 16.85s | SP: 30.00 | SPD R: 29.47 | DUTY R: 68 | [P]2.66 [I]33.85 [D]0.00 (Err: 0.53) 
T: 17.11s | SP: 30.00 | SPD L: 28.42 | DUTY L: 75 | [P]7.92 [I]42.45 [D]0.00 (Err: 1.58) 
T: 17.11s | SP: 30.00 | SPD R: 28.42 | DUTY R: 71 | [P]7.92 [I]33.94 [D]0.00 (Err: 1.58) 
T: 17.36s | SP: 30.00 | SPD L: 29.47 | DUTY L: 67 | [P]2.66 [I]42.83 [D]-10.49 (Err: 0.53) 
T: 17.36s | SP: 30.00 | SPD R: 29.47 | DUTY R: 63 | [P]2.66 [I]34.28 [D]-10.49 (Err: 0.53) 
T: 17.61s | SP: 30.00 | SPD L: 29.47 | DUTY L: 73 | [P]2.66 [I]42.85 [D]0.00 (Err: 0.53) 
T: 17.61s | SP: 30.00 | SPD R: 29.47 | DUTY R: 68 | [P]2.66 [I]34.30 [D]0.00 (Err: 0.53) 
T: 17.86s | SP: 30.00 | SPD L: 29.47 | DUTY L: 73 | [P]2.66 [I]42.90 [D]0.00 (Err: 0.53) 
T: 17.86s | SP: 30.00 | SPD R: 29.47 | DUTY R: 69 | [P]2.66 [I]34.38 [D]0.00 (Err: 0.53) 
T: 18.11s | SP: 30.00 | SPD L: 29.47 | DUTY L: 73 | [P]2.66 [I]42.76 [D]0.00 (Err: 0.53) 
T: 18.11s | SP: 30.00 | SPD R: 29.47 | DUTY R: 68 | [P]2.66 [I]34.24 [D]0.00 (Err: 0.53) 
T: 18.36s | SP: 30.00 | SPD L: 29.47 | DUTY L: 73 | [P]2.66 [I]42.56 [D]0.00 (Err: 0.53) 
T: 18.36s | SP: 30.00 | SPD R: 30.52 | DUTY R: 60 | [P]-2.60 [I]34.01 [D]-10.48 (Err: -0.52) 
T: 18.62s | SP: 30.00 | SPD L: 29.47 | DUTY L: 67 | [P]2.66 [I]42.67 [D]-10.49 (Err: 0.53) 
T: 18.62s | SP: 30.00 | SPD R: 29.47 | DUTY R: 63 | [P]2.66 [I]34.15 [D]-10.49 (Err: 0.53) 
> [Motor] PID Target Setpoint 0 
T: 18.87s | SP: 0.00 | SPD L: 27.36 | DUTY L: 0 | [P]-136.82 [I]0.00 [D]0.00 (Err: -27.36) 
