===== Starting pico ===== 
[Motor] Init start 
[Motor] Init done 
[Encoder] Init start 
[Encoder] Init done 
[Accelerometer] Init start 
[Accelerometer] Init done 
[Ultrasonic] Init start 
[Ultrasonic] Init done 
[Comms] Init start 
[Comms] Init done 
T: 0.00s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 0.00s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 0.25s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 0.25s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 0.50s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 0.50s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 0.75s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 0.75s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 1.01s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 1.01s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 1.26s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 1.26s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 1.51s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 1.51s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 1.76s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 1.76s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 2.01s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 2.01s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 2.26s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 2.26s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 2.51s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 2.51s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 2.77s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 2.77s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 3.02s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 3.02s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 3.27s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 3.27s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 3.52s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 3.52s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 3.77s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 3.77s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 4.02s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 4.02s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 4.27s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 4.27s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 4.52s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 4.52s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 4.78s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 4.78s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 5.03s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 5.03s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 5.28s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 5.28s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 5.53s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 5.53s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 5.78s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 5.78s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 6.03s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 6.03s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 6.28s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 6.28s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 6.54s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 6.54s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 6.79s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 6.79s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 7.04s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 7.04s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 7.29s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 7.29s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 7.54s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 7.54s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 7.79s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 7.79s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 8.04s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 8.04s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 8.29s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 8.29s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 8.55s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 8.55s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
> [Motor] PID Target Setpoint 30 
T: 8.80s | SP: 30.00 | SPD L: 2.10 | DUTY L: 85 | [P]55.79 [I]7.63 [D]0.00 (Err: 27.90) 
T: 8.80s | SP: 30.00 | SPD R: 3.16 | DUTY R: 84 | [P]53.69 [I]7.50 [D]0.00 (Err: 26.84) 
T: 9.05s | SP: 30.00 | SPD L: 13.68 | DUTY L: 80 | [P]32.64 [I]18.48 [D]0.00 (Err: 16.32) 
T: 9.05s | SP: 30.00 | SPD R: 15.79 | DUTY R: 78 | [P]28.43 [I]17.69 [D]0.00 (Err: 14.21) 
T: 9.30s | SP: 30.00 | SPD L: 26.31 | DUTY L: 72 | [P]7.38 [I]23.28 [D]0.00 (Err: 3.69) 
T: 9.30s | SP: 30.00 | SPD R: 28.42 | DUTY R: 70 | [P]3.17 [I]21.55 [D]0.00 (Err: 1.58) 
T: 9.55s | SP: 30.00 | SPD L: 33.68 | DUTY L: 66 | [P]-7.36 [I]22.79 [D]0.00 (Err: -3.68) 
T: 9.55s | SP: 30.00 | SPD R: 37.89 | DUTY R: 61 | [P]-15.78 [I]19.49 [D]0.00 (Err: -7.89) 
T: 9.80s | SP: 30.00 | SPD L: 30.52 | DUTY L: 68 | [P]-1.04 [I]20.07 [D]0.00 (Err: -0.52) 
T: 9.80s | SP: 30.00 | SPD R: 31.57 | DUTY R: 64 | [P]-3.15 [I]14.99 [D]0.00 (Err: -1.57) 
T: 10.06s | SP: 30.00 | SPD L: 25.26 | DUTY L: 71 | [P]9.48 [I]19.37 [D]0.00 (Err: 4.74) 
T: 10.06s | SP: 30.00 | SPD R: 27.36 | DUTY R: 67 | [P]5.27 [I]13.50 [D]0.00 (Err: 2.64) 
T: 10.31s | SP: 30.00 | SPD L: 24.21 | DUTY L: 73 | [P]11.59 [I]20.76 [D]0.00 (Err: 5.79) 
T: 10.31s | SP: 30.00 | SPD R: 26.31 | DUTY R: 68 | [P]7.38 [I]13.80 [D]0.00 (Err: 3.69) 
T: 10.56s | SP: 30.00 | SPD L: 26.31 | DUTY L: 72 | [P]7.38 [I]22.14 [D]0.00 (Err: 3.69) 
T: 10.56s | SP: 30.00 | SPD R: 29.47 | DUTY R: 66 | [P]1.06 [I]13.90 [D]0.00 (Err: 0.53) 
T: 10.81s | SP: 30.00 | SPD L: 27.36 | DUTY L: 71 | [P]5.27 [I]22.64 [D]0.00 (Err: 2.64) 
T: 10.81s | SP: 30.00 | SPD R: 31.57 | DUTY R: 64 | [P]-3.15 [I]12.81 [D]0.00 (Err: -1.57) 
T: 11.06s | SP: 30.00 | SPD L: 29.47 | DUTY L: 69 | [P]1.06 [I]22.53 [D]0.00 (Err: 0.53) 
T: 11.06s | SP: 30.00 | SPD R: 30.52 | DUTY R: 64 | [P]-1.04 [I]11.16 [D]0.00 (Err: -0.52) 
T: 11.31s | SP: 30.00 | SPD L: 28.42 | DUTY L: 70 | [P]3.17 [I]22.01 [D]0.00 (Err: 1.58) 
T: 11.31s | SP: 30.00 | SPD R: 29.47 | DUTY R: 64 | [P]1.06 [I]10.16 [D]0.00 (Err: 0.53) 
T: 11.56s | SP: 30.00 | SPD L: 26.31 | DUTY L: 72 | [P]7.38 [I]22.20 [D]0.00 (Err: 3.69) 
T: 11.56s | SP: 30.00 | SPD R: 27.36 | DUTY R: 66 | [P]5.27 [I]9.79 [D]0.00 (Err: 2.64) 
T: 11.82s | SP: 30.00 | SPD L: 27.36 | DUTY L: 71 | [P]5.27 [I]22.62 [D]0.00 (Err: 2.64) 
T: 11.82s | SP: 30.00 | SPD R: 28.42 | DUTY R: 65 | [P]3.17 [I]9.85 [D]0.00 (Err: 1.58) 
T: 12.07s | SP: 30.00 | SPD L: 27.36 | DUTY L: 71 | [P]5.27 [I]22.82 [D]0.00 (Err: 2.64) 
T: 12.07s | SP: 30.00 | SPD R: 29.47 | DUTY R: 64 | [P]1.06 [I]9.38 [D]0.00 (Err: 0.53) 
T: 12.32s | SP: 30.00 | SPD L: 29.47 | DUTY L: 69 | [P]1.06 [I]22.75 [D]0.00 (Err: 0.53) 
T: 12.32s | SP: 30.00 | SPD R: 29.47 | DUTY R: 64 | [P]1.06 [I]8.65 [D]0.00 (Err: 0.53) 
T: 12.57s | SP: 30.00 | SPD L: 28.42 | DUTY L: 70 | [P]3.17 [I]22.49 [D]0.00 (Err: 1.58) 
T: 12.57s | SP: 30.00 | SPD R: 27.36 | DUTY R: 65 | [P]5.27 [I]8.37 [D]0.00 (Err: 2.64) 
T: 12.82s | SP: 30.00 | SPD L: 28.42 | DUTY L: 70 | [P]3.17 [I]22.66 [D]0.00 (Err: 1.58) 
T: 12.82s | SP: 30.00 | SPD R: 28.42 | DUTY R: 64 | [P]3.17 [I]8.43 [D]0.00 (Err: 1.58) 
T: 13.07s | SP: 30.00 | SPD L: 28.42 | DUTY L: 70 | [P]3.17 [I]22.69 [D]0.00 (Err: 1.58) 
T: 13.07s | SP: 30.00 | SPD R: 27.36 | DUTY R: 65 | [P]5.27 [I]8.38 [D]0.00 (Err: 2.64) 
T: 13.32s | SP: 30.00 | SPD L: 28.42 | DUTY L: 70 | [P]3.17 [I]22.63 [D]0.00 (Err: 1.58) 
T: 13.32s | SP: 30.00 | SPD R: 29.47 | DUTY R: 64 | [P]1.06 [I]8.31 [D]0.00 (Err: 0.53) 
T: 13.58s | SP: 30.00 | SPD L: 28.42 | DUTY L: 70 | [P]3.17 [I]22.51 [D]0.00 (Err: 1.58) 
T: 13.58s | SP: 30.00 | SPD R: 28.42 | DUTY R: 64 | [P]3.17 [I]7.88 [D]0.00 (Err: 1.58) 
T: 13.83s | SP: 30.00 | SPD L: 27.36 | DUTY L: 71 | [P]5.27 [I]22.44 [D]0.00 (Err: 2.64) 
T: 13.83s | SP: 30.00 | SPD R: 28.42 | DUTY R: 64 | [P]3.17 [I]7.84 [D]0.00 (Err: 1.58) 
T: 14.08s | SP: 30.00 | SPD L: 27.36 | DUTY L: 71 | [P]5.27 [I]22.78 [D]0.00 (Err: 2.64) 
T: 14.08s | SP: 30.00 | SPD R: 28.42 | DUTY R: 64 | [P]3.17 [I]7.66 [D]0.00 (Err: 1.58) 
T: 14.33s | SP: 30.00 | SPD L: 28.42 | DUTY L: 70 | [P]3.17 [I]22.98 [D]0.00 (Err: 1.58) 
T: 14.33s | SP: 30.00 | SPD R: 27.36 | DUTY R: 65 | [P]5.27 [I]7.76 [D]0.00 (Err: 2.64) 
T: 14.58s | SP: 30.00 | SPD L: 28.42 | DUTY L: 70 | [P]3.17 [I]23.08 [D]0.00 (Err: 1.58) 
T: 14.58s | SP: 30.00 | SPD R: 28.42 | DUTY R: 64 | [P]3.17 [I]7.99 [D]0.00 (Err: 1.58) 
T: 14.83s | SP: 30.00 | SPD L: 28.42 | DUTY L: 70 | [P]3.17 [I]23.12 [D]0.00 (Err: 1.58) 
T: 14.83s | SP: 30.00 | SPD R: 29.47 | DUTY R: 63 | [P]1.06 [I]7.85 [D]0.00 (Err: 0.53) 
T: 15.09s | SP: 30.00 | SPD L: 29.47 | DUTY L: 69 | [P]1.06 [I]22.86 [D]0.00 (Err: 0.53) 
T: 15.09s | SP: 30.00 | SPD R: 28.42 | DUTY R: 64 | [P]3.17 [I]7.63 [D]0.00 (Err: 1.58) 
T: 15.34s | SP: 30.00 | SPD L: 29.47 | DUTY L: 69 | [P]1.06 [I]22.70 [D]0.00 (Err: 0.53) 
T: 15.34s | SP: 30.00 | SPD R: 29.47 | DUTY R: 63 | [P]1.06 [I]7.37 [D]0.00 (Err: 0.53) 
T: 15.59s | SP: 30.00 | SPD L: 28.42 | DUTY L: 70 | [P]3.17 [I]22.61 [D]0.00 (Err: 1.58) 
T: 15.59s | SP: 30.00 | SPD R: 28.42 | DUTY R: 64 | [P]3.17 [I]7.30 [D]0.00 (Err: 1.58) 
T: 15.84s | SP: 30.00 | SPD L: 28.42 | DUTY L: 70 | [P]3.17 [I]22.88 [D]0.00 (Err: 1.58) 
T: 15.84s | SP: 30.00 | SPD R: 28.42 | DUTY R: 64 | [P]3.17 [I]7.51 [D]0.00 (Err: 1.58) 
T: 16.09s | SP: 30.00 | SPD L: 28.42 | DUTY L: 70 | [P]3.17 [I]23.13 [D]0.00 (Err: 1.58) 
T: 16.09s | SP: 30.00 | SPD R: 29.47 | DUTY R: 63 | [P]1.06 [I]7.52 [D]0.00 (Err: 0.53) 
T: 16.34s | SP: 30.00 | SPD L: 28.42 | DUTY L: 70 | [P]3.17 [I]23.16 [D]0.00 (Err: 1.58) 
T: 16.34s | SP: 30.00 | SPD R: 29.47 | DUTY R: 63 | [P]1.06 [I]7.33 [D]0.00 (Err: 0.53) 
T: 16.59s | SP: 30.00 | SPD L: 29.47 | DUTY L: 70 | [P]1.06 [I]23.18 [D]0.00 (Err: 0.53) 
T: 16.59s | SP: 30.00 | SPD R: 29.47 | DUTY R: 63 | [P]1.06 [I]7.07 [D]0.00 (Err: 0.53) 
T: 16.85s | SP: 30.00 | SPD L: 29.47 | DUTY L: 69 | [P]1.06 [I]22.85 [D]0.00 (Err: 0.53) 
T: 16.85s | SP: 30.00 | SPD R: 28.42 | DUTY R: 64 | [P]3.17 [I]7.06 [D]0.00 (Err: 1.58) 
T: 17.10s | SP: 30.00 | SPD L: 28.42 | DUTY L: 70 | [P]3.17 [I]22.91 [D]0.00 (Err: 1.58) 
T: 17.10s | SP: 30.00 | SPD R: 28.42 | DUTY R: 64 | [P]3.17 [I]7.26 [D]0.00 (Err: 1.58) 
T: 17.35s | SP: 30.00 | SPD L: 28.42 | DUTY L: 70 | [P]3.17 [I]23.11 [D]0.00 (Err: 1.58) 
T: 17.35s | SP: 30.00 | SPD R: 29.47 | DUTY R: 63 | [P]1.06 [I]7.17 [D]0.00 (Err: 0.53) 
T: 17.60s | SP: 30.00 | SPD L: 29.47 | DUTY L: 70 | [P]1.06 [I]23.21 [D]0.00 (Err: 0.53) 
T: 17.60s | SP: 30.00 | SPD R: 29.47 | DUTY R: 63 | [P]1.06 [I]7.15 [D]0.00 (Err: 0.53) 
T: 17.85s | SP: 30.00 | SPD L: 29.47 | DUTY L: 70 | [P]1.06 [I]23.23 [D]0.00 (Err: 0.53) 
T: 17.85s | SP: 30.00 | SPD R: 29.47 | DUTY R: 63 | [P]1.06 [I]7.03 [D]0.00 (Err: 0.53) 
T: 18.10s | SP: 30.00 | SPD L: 29.47 | DUTY L: 70 | [P]1.06 [I]23.07 [D]0.00 (Err: 0.53) 
T: 18.10s | SP: 30.00 | SPD R: 28.42 | DUTY R: 64 | [P]3.17 [I]7.05 [D]0.00 (Err: 1.58) 
T: 18.35s | SP: 30.00 | SPD L: 29.47 | DUTY L: 70 | [P]1.06 [I]22.96 [D]0.00 (Err: 0.53) 
T: 18.35s | SP: 30.00 | SPD R: 29.47 | DUTY R: 63 | [P]1.06 [I]7.23 [D]0.00 (Err: 0.53) 
T: 18.61s | SP: 30.00 | SPD L: 29.47 | DUTY L: 70 | [P]1.06 [I]22.95 [D]0.00 (Err: 0.53) 
T: 18.61s | SP: 30.00 | SPD R: 29.47 | DUTY R: 63 | [P]1.06 [I]7.12 [D]0.00 (Err: 0.53) 
T: 18.86s | SP: 30.00 | SPD L: 28.42 | DUTY L: 70 | [P]3.17 [I]23.11 [D]0.00 (Err: 1.58) 
